"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C6,C28,C5,C4";"C_0805_2012Metric";4;"10uF";;;
2;"C14,C1,C16";"C_0603_1608Metric";3;"1uF";;;
3;"R18,R19,R17";"R_0603_1608Metric";3;"100";;;
4;"U3";"TSSOP-8_4.4x3mm_P0.65mm";1;"AT24CS08-XHM";;;
5;"D1,D3,D2";"Osram_BPW34S-SMD";3;"BPW34-SMD";;;
6;"J1";"R_Array_SIP4";1;"OLED";;;
7;"R1";"R_0603_1608Metric";1;"100k";;;
8;"R24,R25";"R_0603_1608Metric";2;"0";;;
9;"R23,R22,R21,R28,R27,R29,R26";"R_0603_1608Metric";7;"22";;;
10;"J5";"PinSocket_1x03_P2.54mm_Vertical";1;"Light";;;
11;"C13,C2,C17,C22";"C_0603_1608Metric";4;"0.1uF";;;
12;"SW2,SW3,SW1,SW4";"SW_PUSH_6mm";4;"SW_Push";;;
13;"C19,C18,C20";"C_0603_1608Metric";3;"10pF or NC";;;
14;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"SPI";;;
15;"C10,C9,C8";"C_0603_1608Metric";3;"10pF";;;
16;"J3,J9";"ushutter";2;"Conn_01x12";;;
17;"R5,R6,R4";"R_0603_1608Metric";3;"220K";;;
18;"R7,R8";"R_0603_1608Metric";2;"4.7K_or_depends_on_OLED";;;
19;"R2";"R_0603_1608Metric";1;"1K";;;
20;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
21;"U1";"SSOP-14_5.3x6.2mm_P0.65mm";1;"74HC14";;;
